s0	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	s21	s22	s23	s24	s25	s26	s27	s28	s29	s30	s31	s32	s33	s34	s35	s36	s37	s38	s39
125.2143	119.8931	113.5157	130.8476	123.9738	116.7849	121.1783	126.5222	115.8951	123.287	118.1716	118.1955	123.4555	124.4585	112.2599	114.8617	111.6845	113.7029	116.6446	115.6757	116.7755	123.2662	113.0188	117.8993	113.4118	117.5246	109.7377	113.5596	114.2003	113.3472	114.3758	112.5219	113.004	109.1855	118.4184	106.4688	113.9996	113.1611	113.5891	113.892
125.2143	119.8931	113.5678	130.492	123.9211	116.9452	121.157	126.4028	115.8354	123.3421	118.1579	118.2917	123.5743	124.3959	112.5042	114.9777	111.7999	113.8755	116.6446	115.8357	116.7755	123.0974	113.0188	117.7812	113.5317	117.4715	109.693	113.6038	114.2003	113.4442	114.326	112.5219	113.004	108.8967	118.4184	106.4688	114.1152	113.2257	113.5365	113.892
125.2143	120.0096	113.5678	130.5527	123.9738	116.6248	121.1093	126.5222	115.8354	123.3421	118.3375	118.3586	123.5245	124.521	112.5042	114.8617	111.9603	113.8216	116.525	115.8357	116.5943	123.0974	112.9564	117.7212	113.5317	117.5246	109.4654	113.5154	114.2003	113.3472	114.5379	112.42	113.0479	109.1855	118.4941	106.4688	114.1152	113.2257	113.3508	113.6684
125.2143	120.0096	113.5678	130.5527	123.9738	116.8973	121.2738	126.628	115.8354	123.3421	118.2731	118.3586	123.5245	124.3959	112.3928	114.8617	111.89	113.9403	116.6949	115.8357	116.8924	123.154	112.905	117.8393	113.4765	117.5778	109.5792	113.4712	114.2003	113.4442	114.488	112.302	113.004	109.1855	118.3715	106.4688	114.0701	113.1611	113.6416	113.7802
125.2143	119.7766	113.5678	130.7305	123.9738	116.6726	121.3428	126.5751	115.8951	123.3421	118.1579	118.2436	123.5743	124.4585	112.5042	115.0322	111.89	113.9943	116.6446	115.8357	116.6587	123.3784	112.9564	117.7212	113.5317	117.5778	109.5792	113.5154	114.2003	113.4589	114.2636	112.4709	112.9339	109.0167	118.541	106.5812	114.1152	112.992	113.5891	113.9448
125.2143	119.7766	113.6198	130.5527	123.8595	116.8973	121.3906	126.5222	115.8951	123.3421	118.1579	118.2436	123.5743	124.4585	112.4485	114.9161	111.9603	113.8755	116.6949	115.8357	116.6587	123.154	112.905	117.7812	113.5317	117.6927	109.4654	113.5596	114.2003	113.5075	114.4257	112.2512	112.9339	109.0655	118.4184	106.4688	114.1152	113.0964	113.4699	113.6684
125.1607	119.8453	113.5678	130.492	123.9211	116.8973	121.3906	126.5751	115.7807	123.3421	118.3884	118.2917	123.4058	124.7556	112.4485	114.8617	111.89	113.8755	116.5943	115.7888	116.6061	123.0974	112.7912	117.8393	113.5317	117.4715	109.6238	113.6317	114.2003	113.3957	114.4257	112.4709	113.0479	109.0655	118.4471	106.4688	113.9996	113.0964	113.5891	113.892
125.2143	119.7766	113.5678	130.492	123.9738	116.7849	121.226	126.5751	115.9498	123.3421	118.1071	118.2436	123.5743	124.6929	112.3264	114.9161	111.7999	113.7677	116.6949	115.8357	116.6587	123.2095	113.0188	117.8393	113.5317	117.4628	109.5792	113.5154	114.2003	113.3957	114.3758	112.42	112.9339	108.9455	118.541	106.5812	113.9996	113.0964	113.5224	113.9448
125.2143	119.9409	113.5157	130.6135	123.9738	116.9452	121.3428	126.628	115.9498	123.3421	118.2223	118.4067	123.5245	124.2865	112.3264	114.7456	111.8449	113.7567	116.525	115.7888	116.7755	123.2095	112.905	117.8393	113.5317	117.5246	109.6238	113.5154	114.0347	113.4589	114.3758	112.4709	113.004	109.0167	118.4184	106.4688	114.1152	113.1611	113.5891	113.9448
125.3297	119.9409	113.6854	130.492	123.9211	116.8973	121.3428	126.628	115.9498	123.3421	118.2731	118.3105	123.5743	124.4585	112.382	114.7456	111.8449	113.8216	116.6446	115.7888	116.6587	123.0974	112.8535	117.8393	113.5317	117.5246	109.5792	113.5154	114.1484	113.5075	114.5379	112.42	112.7762	109.1855	118.4184	106.4688	113.8841	113.3826	113.6416	113.9448
125.445	119.9409	113.5678	130.6135	123.9211	116.8494	120.9449	126.5751	115.8951	123.287	118.1071	118.2436	123.5743	124.4585	112.4485	114.9161	111.9603	114.0482	116.525	115.8357	116.6587	123.0974	112.905	117.8412	113.4118	117.5778	109.5792	113.5154	114.1484	113.3472	114.326	112.4709	112.8901	109.0167	118.4184	106.4688	113.9546	113.1611	113.5891	113.892
125.2143	119.8931	113.5678	130.5527	123.9211	116.8494	121.3428	126.5751	115.8951	123.3421	118.2223	118.2436	123.5743	124.6929	112.5042	115.0322	111.9603	113.649	116.525	115.7888	116.7229	123.3217	112.905	117.7812	113.4118	117.5246	109.5346	113.5154	114.1484	113.4103	114.488	112.42	112.9339	109.0655	118.4184	106.4688	113.9996	113.2134	113.5891	113.7802
125.2143	119.7766	113.5678	130.5527	123.9738	116.7204	121.2738	126.628	115.8354	123.3421	118.3375	118.2917	123.5743	124.5757	112.382	114.8617	111.8449	113.8755	116.6446	115.8357	116.7755	123.0974	113.0188	117.8393	113.5317	117.5778	109.7621	113.6317	114.2003	113.2987	114.4381	112.42	112.9339	108.9455	118.541	106.5812	114.1152	113.0964	113.6942	113.892
125.2143	120.0575	113.5678	130.7305	123.9738	116.9452	121.4384	126.5751	115.8354	123.3421	118.2223	118.2436	123.8119	124.521	112.382	114.9161	111.7999	113.8216	116.6446	115.8357	116.6587	123.0974	113.0188	117.7212	113.4118	117.5246	109.5792	113.6317	114.2003	113.3472	114.6002	112.42	113.0479	108.9455	118.4941	106.5114	114.1152	113.1611	113.6416	113.892
125.099	119.8931	113.5678	130.5527	123.9738	116.7849	121.3428	126.4028	115.8951	123.5841	118.3884	118.3586	123.356	124.6303	112.2043	114.8617	111.7746	113.9943	116.5943	115.8357	116.6587	123.2095	113.0188	117.9574	113.4118	117.5246	109.693	113.6759	114.0347	113.4442	114.488	112.5219	113.0479	109.0655	118.6166	106.4688	113.9996	113.278	113.5891	113.7802
125.1607	119.8244	113.5678	130.6135	123.9211	116.8328	121.3906	126.6945	115.9498	123.3421	118.2223	118.2917	123.5743	124.4585	112.4485	114.7456	111.8449	113.8755	116.525	115.8357	116.6587	123.2095	113.0188	117.7812	113.5317	117.4715	109.6238	113.6038	114.2003	113.4589	114.488	112.4709	112.8462	109.1855	118.3715	106.4262	114.1152	113.0964	113.6416	113.7802
125.2143	120.0575	113.5678	130.5527	123.9738	116.7204	121.3428	126.628	115.9498	123.3421	118.3884	118.2436	123.8119	124.5131	112.382	114.9161	111.7295	113.9403	116.6446	115.8357	116.7755	122.9852	112.905	117.8993	113.5317	117.5246	109.693	113.5154	114.1484	113.3957	114.5379	112.6399	113.0479	109.0655	118.4471	106.5812	114.1152	113.0964	113.6416	113.892
125.268	119.8931	113.5678	130.492	123.9738	116.8328	121.3428	126.5222	115.8902	123.5289	118.3375	118.2436	123.5743	124.4585	112.4485	114.8617	111.8449	113.9403	116.6446	115.7888	116.6587	123.3784	113.0188	117.7812	113.5317	117.5778	109.5792	113.5596	114.2003	113.3472	114.4257	112.5889	113.004	109.0167	118.4941	106.5812	114.1152	113.2134	113.5224	113.892
125.3297	119.9409	113.5157	130.6697	123.9738	116.8494	121.226	126.5222	115.8951	123.5841	118.1071	118.2436	123.6432	124.521	112.4485	114.9161	111.9603	113.8755	116.6949	115.8357	116.5418	123.3217	113.0703	117.9574	113.4118	117.5778	109.6238	113.5596	114.1484	113.4442	114.4257	112.5889	112.9339	108.9455	118.541	106.5114	114.1152	113.3303	113.4032	113.7802
125.2143	119.9409	113.6854	130.6697	123.9738	116.7849	121.3906	126.5751	115.8951	123.287	118.1716	118.1767	123.6931	124.6383	112.6263	114.8617	111.8449	114.0482	116.8145	115.8357	116.6587	123.1529	112.905	117.8393	113.4118	117.4715	109.693	113.5154	114.2003	113.4442	114.326	112.6399	112.9339	109.0167	118.4941	106.4688	114.1152	113.2134	113.5891	113.892
125.1607	119.8931	113.5678	130.6135	123.9738	116.9452	121.2738	126.5085	116.0046	123.5841	118.3884	118.2436	123.7429	124.521	112.5042	114.9161	112.0054	113.8755	116.8145	115.8357	116.6587	123.2095	113.0703	117.8993	113.5317	117.6395	109.7377	113.5596	114.2003	113.3957	114.488	112.6399	113.0479	108.9943	118.7106	106.5114	114.1152	113.2134	113.6416	113.7802
125.276	119.8931	113.6198	130.5527	123.9738	116.8973	121.3906	126.5751	116.0642	123.3421	118.3884	118.1767	123.5743	124.5757	112.3928	114.9161	112.0054	113.9943	116.6446	115.6757	116.7755	123.3217	113.0188	117.9574	113.4118	117.5246	109.5346	113.5596	114.2003	113.5075	114.5379	112.5889	112.8901	109.1855	118.541	106.4688	113.9996	113.3303	113.5891	113.7802
125.1526	119.7766	113.5678	130.7305	124.0881	116.8973	121.3906	126.5751	116.0642	123.4524	118.2731	118.2917	123.5743	124.4585	112.382	114.8	112.0054	113.8216	116.4747	115.8357	116.8282	123.3784	113.0188	117.9574	113.5317	117.5246	109.6238	113.6759	114.2003	113.3472	114.4381	112.4709	113.1179	109.0655	118.4941	106.5812	114.0701	113.2134	113.4699	113.9448
