s0	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	s21	s22	s23	s24	s25	s26	s27	s28	s29	s30	s31	s32	s33	s34	s35	s36	s37	s38	s39
125.3297	119.8931	113.5678	130.6697	124.0881	116.8973	121.4384	126.6416	115.8951	123.7051	118.5036	118.1955	123.8807	124.6383	112.5706	114.8	112.0054	113.9403	116.7642	115.8357	116.8924	123.4339	113.0703	118.0755	113.5317	117.6395	109.6483	113.5596	114.2622	113.5075	114.6002	112.6399	113.004	109.1366	118.6166	106.5812	114.2307	113.1611	113.6416	114.0039
125.3297	119.8931	113.5678	130.5527	124.0881	116.8973	121.3428	126.6945	115.8951	123.7051	118.2731	118.1955	123.5743	124.5757	112.5042	115.0322	112.0054	113.9943	116.8145	115.8825	116.8924	123.4339	113.0703	117.8412	113.6515	117.7545	109.7377	113.5596	114.2003	113.5561	114.4381	112.5889	112.9339	109.0167	118.7106	106.4688	114.2307	113.4473	113.5891	114.0567
125.445	119.9409	113.4501	130.5527	124.0353	117.0097	121.3428	126.7475	115.9498	123.5841	118.3884	118.3105	123.9306	124.5131	112.4485	114.8617	112.0054	113.9403	116.6446	115.8357	116.8924	123.2095	112.905	118.1936	113.5317	117.5863	109.693	113.5154	114.3141	113.5561	114.7124	112.5219	113.0479	109.1366	118.7106	106.5812	114.2307	113.4996	113.8134	114.1157
125.3297	119.9409	113.5678	130.5527	124.0353	116.9452	121.3428	126.5222	116.0642	123.6499	118.3375	118.3105	123.6931	124.6929	112.6263	114.8617	112.1911	114.0482	116.7452	115.8357	116.7755	123.4339	113.0188	117.9574	113.5317	117.7545	109.7621	113.6317	114.1484	113.3957	114.6002	112.5889	113.1179	109.0655	118.7392	106.5812	114.2307	113.4473	113.6416	114.0039
125.2143	120.0575	113.5678	130.5527	124.0353	116.8973	121.3428	126.6416	116.1191	123.7051	118.5036	118.3586	123.5743	124.5757	112.5042	114.9161	112.0757	113.9943	116.8145	115.8357	116.8924	123.2095	113.0188	117.8993	113.5317	117.7545	109.8516	113.5596	114.1484	113.6679	114.5502	112.6399	113.0918	109.0655	118.6166	106.4688	114.2053	113.4473	113.7082	114.0039
125.2143	120.0096	113.5678	130.5527	124.0353	116.8973	121.3906	126.6416	115.8951	123.7051	118.4527	118.5218	123.6931	124.5757	112.6263	114.8617	112.0054	114.0482	116.7642	115.8357	116.8282	123.3771	113.0188	117.9574	113.5317	117.6395	109.6483	113.6759	114.2003	113.6193	114.6501	112.42	113.0479	109.0655	118.6636	106.5812	114.2307	113.2134	113.7608	114.1157
125.3297	119.9409	113.5678	130.6135	124.0353	116.9452	121.295	126.6945	116.0642	123.7051	118.2731	118.3586	123.6931	124.8101	112.5042	115.0867	112.1209	114.059	116.7642	115.7225	116.7755	123.2095	113.0188	117.9574	113.5317	117.6927	109.693	113.7202	114.1484	113.5075	114.488	112.4709	113.004	109.1366	118.6636	106.5812	114.2307	113.4996	113.5891	114.0039
125.268	119.8931	113.6198	130.5527	124.0881	117.0097	121.3906	126.6945	116.0046	123.7051	118.4527	118.4067	123.8119	124.5757	112.5706	114.8617	111.89	113.8864	116.8145	115.8357	116.7755	123.4339	113.0188	117.9574	113.5317	117.8694	109.6483	113.5154	114.1484	113.5706	114.6002	112.7069	113.0479	109.1855	118.6166	106.5812	114.2307	113.3949	113.7082	114.0039
125.6141	120.0575	113.5678	130.5527	124.0353	117.0097	121.3906	126.6945	115.9498	123.7051	118.3375	118.2436	123.8807	124.8101	112.5706	114.9161	111.9603	113.9943	116.6949	115.8357	116.8924	123.4906	113.0188	118.0155	113.642	117.6395	109.5792	113.6317	114.2622	113.4589	114.6501	112.5889	112.9778	109.0655	118.6636	106.5812	114.2307	113.2134	113.7608	113.9448
125.3834	120.0096	113.6332	130.5527	123.9738	117.0576	121.157	126.6945	115.9498	123.5841	118.3884	118.3105	123.9306	124.8101	112.5706	114.8617	111.9603	113.8864	116.8145	115.8357	116.9451	123.3217	113.0188	117.7812	113.5317	117.6395	109.693	113.7202	114.2003	113.5561	114.6002	112.538	113.004	109.2344	118.6636	106.4688	114.3463	113.4473	113.7608	114.0039
