s0	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	s21	s22	s23	s24	s25	s26	s27	s28	s29	s30	s31	s32	s33	s34	s35	s36	s37	s38	s39	time
123.263	118.4007	112.8242	128.0897	121.7604	116.3355	120.7115	125.8584	115.552	121.6057	118.1071	118.0137	123.4058	124.052	111.7825	114.9161	112.4672	113.7567	116.525	115.6757	117.0093	124.0517	113.1326	118.0772	113.5317	118.4975	110.3519	114.0251	114.6034	113.731	115.7106	113.5844	113.8896	109.7638	119.4466	106.5539	115.1306	114.2542	114.6482	114.3393	0.0148072242737
123.2101	118.4007	112.7586	128.1495	121.7085	116.5125	120.9234	125.9252	115.4973	121.8356	117.9919	118.0137	123.5743	123.9896	112.0822	115.0322	112.1911	113.8755	116.3552	115.5626	117.0093	123.9395	113.0188	118.0755	113.5317	118.551	110.307	114.1859	114.4279	113.7797	115.5364	113.6358	114.1176	109.8839	119.4939	106.5114	115.0851	114.3713	114.5953	114.4452	0.0287899971008
123.2101	118.4479	112.9936	128.2664	121.8227	116.2879	120.8282	125.7532	115.4376	121.7811	118.0426	118.1767	123.5245	124.1068	111.8379	115.0322	112.4672	113.8216	116.4054	115.6093	117.062	123.8272	113.1842	118.0755	113.5317	118.6125	110.1483	114.1859	114.4279	113.731	115.5364	113.4663	114.1176	109.7147	119.4939	106.5539	115.0149	114.3186	114.6482	114.4452	0.0430710315704
123.2101	118.4007	112.8242	128.3262	121.7604	116.4002	121.1093	125.7532	115.552	121.8356	117.9919	118.1287	123.5743	124.0444	111.8379	114.8617	112.1911	113.7029	116.4556	115.5626	117.2959	123.9964	113.0188	118.0755	113.5869	118.551	110.0793	114.1859	114.4279	113.7797	115.548	113.5177	113.9339	109.7638	119.4466	106.6665	115.1306	114.3186	114.529	114.4452	0.0561652183533
123.1573	118.4007	112.5893	128.2664	121.8227	116.4479	121.1093	125.7532	115.552	121.8901	118.1071	118.0617	123.4058	123.9896	112.0822	115.1483	112.2363	113.8755	116.525	115.7225	117.2959	123.9947	113.1326	118.2535	113.5869	118.4975	110.0793	114.2303	114.4279	113.9402	115.5984	113.5177	114.0036	109.7638	119.5885	106.5539	115.2463	114.2542	114.5953	114.5041	0.0698411464691
123.2101	118.2842	112.7068	128.2664	121.7085	116.1756	120.9449	125.9252	115.4376	121.7811	118.1071	118.2247	123.4058	123.9272	111.8379	114.9161	112.4672	113.8216	116.4054	115.7225	117.2959	123.9395	113.0188	118.3117	113.5317	118.6661	110.1932	114.1415	114.4897	113.731	115.5984	113.5177	113.8896	109.6927	119.4745	106.5539	115.3373	114.2542	114.6482	114.3923	0.0843122005463
123.2101	118.4007	112.7068	128.2093	121.6462	116.3355	120.8758	125.9778	115.4376	121.7811	118.0426	118.1767	123.4555	124.0444	111.8379	114.9777	112.1911	113.8755	116.3552	115.7225	117.2431	123.9395	113.0703	118.3117	113.4118	118.551	110.307	114.1415	114.4279	113.6193	115.5364	113.5177	114.0479	109.6656	119.3239	106.6665	115.2918	114.2542	114.7012	114.3923	0.0973160266876
123.2724	118.4007	112.7586	128.1495	121.7085	116.4002	120.9925	125.7532	115.4922	121.7811	118.1071	118.1767	123.4058	124.1068	111.8379	115.1411	112.3065	113.9294	116.3552	115.5626	117.062	123.9964	113.1326	118.3117	113.6515	118.551	110.3519	114.097	114.4279	113.6679	115.548	113.5177	113.9339	109.7638	119.4466	106.5114	115.0851	114.2016	114.5953	114.5041	0.111275196075
123.263	118.4007	112.8898	128.2093	121.7085	116.2879	121.0402	126.0446	115.383	121.8356	118.2223	118.1287	123.4747	124.3413	112.0822	114.9705	112.3517	113.7677	116.525	115.6093	117.2959	124.0517	113.0188	118.3117	113.467	118.6661	110.307	114.1859	114.5417	113.8428	115.761	113.6358	114.0036	109.9548	119.4466	106.5539	115.1306	114.3713	114.6482	114.3923	0.125045061111
123.2101	118.4007	112.8242	128.2664	121.7085	116.3525	120.9449	125.9252	115.552	121.7811	118.1579	118.0806	123.5743	124.3413	112.0266	114.9777	112.3065	113.8755	116.4054	115.7225	117.1148	124.0517	113.1326	118.3117	113.5317	118.551	110.1932	114.1859	114.5417	113.731	115.6603	113.4509	114.1176	109.7638	119.3046	106.6665	115.1761	114.2016	114.529	114.4452	0.13888001442
