s0	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	s21	s22	s23	s24	s25	s26	s27	s28	s29	s30	s31	s32	s33	s34	s35	s36	s37	s38	s39	time
108.0147	105.7696	104.3132	107.29	105.6193	102.8378	102.1331	106.4479	101.5641	101.6935	101.1906	101.4038	102.9507	102.9754	99.1323	99.398	99.0464	100.9296	102.3891	99.0127	99.8342	102.8538	100.9364	102.3627	99.4661	98.7067	99.4476	101.7178	100.9184	98.8713	98.264	99.1818	100.806	99.717	101.4705	98.8383	100.3914	99.5518	100.4406	98.7778	0.0148859024048
107.9003	105.8851	104.4298	107.406	105.5739	102.8378	102.2892	106.4479	101.5149	101.6471	101.1906	101.4038	103.0685	103.2621	99.1829	99.398	99.1267	100.8806	102.3001	99.1251	99.8342	102.7424	100.8896	102.3627	99.5156	98.6158	99.4476	101.6416	100.9184	98.9138	98.3071	99.3711	100.6927	99.7622	101.5105	98.9502	100.3519	99.5518	100.6535	98.6665	0.0286428928375
108.0147	105.7696	104.5464	107.3547	105.5059	102.88	102.3648	106.3294	101.4656	101.5734	101.1906	101.3625	102.9507	103.0293	99.1829	99.3495	99.0866	101.0475	102.3446	99.0127	99.7878	102.9508	100.9831	102.3107	99.4166	98.7756	99.4476	101.681	101.0315	98.9138	98.3324	99.3711	100.767	99.717	101.3486	98.7987	100.4669	99.5518	100.5592	98.7312	0.0423970222473
107.7859	105.8117	104.3619	107.29	105.5739	102.8378	102.1733	106.4479	101.5149	101.6006	101.1906	101.4451	102.6737	102.9754	99.1829	99.6286	99.3158	101.1654	102.1814	99.1251	99.8805	103.0623	100.8896	102.2454	99.4661	98.73	99.4884	101.5258	100.8719	98.9138	98.3756	99.462	100.7316	99.717	101.2267	98.8778	100.3519	99.6455	100.4877	98.8425	0.0561728477478
107.9003	105.7696	104.381	107.406	105.5739	102.8378	102.0574	106.4188	101.5149	101.6006	101.1906	101.4451	103.0685	103.0918	99.1829	99.2826	99.1267	101.1164	102.0182	99.165	99.8342	102.9023	100.8896	102.4667	99.4166	98.7756	99.4884	101.681	100.9184	98.8713	98.2208	99.462	100.6927	99.5977	101.3486	98.8383	100.3519	99.6682	100.4877	98.749	0.0697040557861
108.0147	105.7696	104.3132	107.406	105.5739	102.7685	102.2892	106.4479	101.5149	101.6471	101.2344	101.5179	103.2278	102.9754	99.2336	99.398	99.0464	101.1654	102.3446	99.0127	99.8342	102.9508	100.9364	102.2454	99.3469	98.6158	99.6424	101.6416	101.0315	98.9138	98.2208	99.1818	100.806	99.7622	101.3064	98.9898	100.4669	99.5518	100.3935	98.6845	0.0834939479828
108.0147	105.8851	104.3132	107.406	105.6193	102.8378	102.2489	106.4479	101.5149	101.6935	101.0763	101.4038	103.1863	103.0918	99.2336	99.2342	99.2012	101.0965	102.1814	99.1251	99.8342	103.0138	100.9831	102.4667	99.4166	98.73	99.6424	101.6416	100.9184	99.025	98.3071	99.3445	100.806	99.5977	101.2267	98.7987	100.3519	99.5518	100.4406	98.7778	0.0972559452057
107.9471	105.8851	104.3619	107.5221	105.5739	102.8378	102.2489	106.4926	101.4656	101.6935	101.1467	101.5179	103.1863	103.1996	99.1829	99.2342	99.2414	101.1654	102.3446	99.165	99.8805	103.0623	100.8896	102.3107	99.3469	98.6613	99.3752	101.4864	100.9184	98.9138	98.1954	99.3445	100.806	99.717	101.3486	98.8383	100.3519	99.505	100.4406	98.8892	0.110796928406
108.0147	105.8851	104.4785	107.5221	105.5739	102.7956	102.2892	106.4479	101.5149	101.6471	101.1906	101.632	102.9507	103.2621	99.3042	99.2826	99.2414	101.1654	102.1814	99.2775	99.8342	102.9508	100.9831	102.48	99.5156	98.8211	99.5608	101.681	100.9184	99.0676	98.3071	99.3445	100.9583	99.6428	101.3486	98.9105	100.3914	99.5987	100.4877	98.7778	0.124620914459
108.0147	105.7696	104.3132	107.4707	105.6872	102.907	102.2892	106.6111	101.4656	101.6471	101.0763	101.2897	102.9092	103.0293	99.1829	99.3495	99.2414	101.1164	102.3001	99.1322	99.718	102.9508	101.0962	102.3627	99.4166	98.9354	99.3752	101.6416	101.0315	99.025	98.3756	99.3445	100.845	99.717	101.3885	98.7987	100.3914	99.5987	100.4877	98.9538	0.138321876526
