s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	s21	s22	s23	s24	s25	s26	s27	s28	s29	s30	s31	s32	s33	s34	s35	s36	s37	s38	s39	s40	time
491	494	495	495	497	496	501	499	498	505	505	501	500	504	506	505	507	502	503	504	513	504	505	508	506	509	512	506	511	507	512	507	509	511	509	512	511	510	510	509	0.0140118598938
492	494	495	494	498	497	500	500	497	506	505	500	500	504	506	504	507	502	504	505	513	503	505	509	506	509	512	506	512	508	511	507	509	509	511	514	511	509	510	511	0.0284008979797
491	494	495	493	497	497	500	498	499	506	505	500	499	503	507	503	507	502	503	504	512	504	504	509	506	508	511	507	512	508	511	507	508	512	511	513	511	509	512	510	0.0424339771271
491	493	495	494	497	497	500	499	497	506	505	499	500	503	506	503	507	503	504	505	513	503	504	508	506	509	512	507	511	507	511	508	509	510	510	512	511	509	512	510	0.0560009479523
491	493	494	494	497	494	500	498	498	507	505	499	499	503	507	503	507	502	504	504	513	503	506	509	505	508	512	507	511	507	511	508	509	510	510	512	511	509	511	510	0.0699768066406
491	493	495	494	497	497	501	500	497	506	505	499	500	503	505	503	506	503	503	504	512	503	504	509	506	509	511	508	512	507	512	507	508	511	510	512	510	509	512	510	0.0837218761444
491	494	495	494	497	497	501	500	497	505	505	499	500	503	506	504	507	502	502	505	513	504	505	509	505	509	512	507	511	506	511	507	509	512	510	512	509	510	511	510	0.0974268913269
491	494	495	494	497	496	500	499	498	505	505	499	500	504	506	504	507	502	504	505	512	504	504	509	507	509	512	506	512	508	511	507	508	511	510	512	510	510	510	510	0.111181974411
491	493	495	494	497	498	501	500	497	506	505	500	500	504	506	503	507	502	503	505	512	503	505	508	506	508	512	509	511	507	511	507	509	510	511	512	511	510	511	510	0.124794960022
491	494	494	494	496	497	500	499	497	506	505	501	500	504	505	503	507	502	502	503	512	504	504	509	507	508	511	507	510	506	512	507	509	510	509	512	509	511	512	509	0.138924837112
490	493	494	494	498	495	500	499	497	506	505	499	499	503	507	503	506	503	503	503	512	504	505	509	507	509	511	506	511	507	511	507	508	509	511	512	509	510	512	509	0.152561903
490	494	495	494	497	496	500	499	497	505	505	500	500	503	507	504	507	502	504	504	513	503	505	508	508	508	512	508	511	508	511	508	509	510	510	511	511	509	511	509	0.166453838348
492	494	495	495	497	496	501	499	497	505	505	500	500	503	507	504	506	502	503	504	513	505	504	508	506	508	512	507	512	507	511	507	510	511	508	512	509	510	512	510	0.180144786835
492	493	495	494	497	496	501	499	497	506	504	500	500	503	506	503	507	502	503	505	513	504	505	509	506	509	512	507	512	506	511	507	508	509	510	512	511	510	512	509	0.193819999695
492	495	494	494	497	496	501	499	498	506	505	499	499	503	506	502	508	503	503	503	512	503	505	507	507	508	511	508	511	507	511	507	508	511	510	512	509	510	511	509	0.207721948624
492	493	495	494	497	497	501	499	498	506	505	500	500	504	506	504	506	502	504	503	512	504	505	509	506	509	512	506	511	508	511	507	509	511	510	514	511	509	511	509	0.221541881561
491	494	495	494	497	496	501	499	499	506	505	499	501	503	505	503	507	504	503	505	512	504	505	509	505	508	511	507	510	507	511	507	508	511	510	511	510	510	512	510	0.235355854034
491	494	495	495	497	496	500	499	497	506	505	499	500	503	506	505	507	502	503	504	513	504	503	509	506	508	511	506	512	506	512	507	508	511	510	513	511	510	510	510	0.249257802963
491	494	494	494	497	497	501	499	497	506	505	499	499	503	507	504	507	502	503	503	512	503	505	509	506	507	512	507	511	506	511	507	508	510	510	512	511	511	511	510	0.262308835983
491	494	495	494	497	496	501	499	498	505	504	499	500	503	506	502	507	502	503	503	512	502	505	508	506	509	512	507	511	507	511	507	509	511	510	511	511	509	510	509	0.276359796524
490	494	494	494	497	496	501	498	497	506	504	499	500	504	505	504	507	502	503	503	512	503	506	509	507	508	512	507	511	506	511	507	509	510	509	513	511	509	510	509	0.289930820465
490	494	495	494	497	497	500	499	497	506	505	500	500	504	507	502	507	502	503	503	512	504	505	509	506	508	512	506	511	505	512	507	509	512	510	513	511	510	511	510	0.304378986359
490	494	495	493	497	497	501	498	498	505	505	500	499	503	506	505	506	502	504	504	512	503	504	507	507	508	511	506	512	508	511	507	508	511	509	513	510	510	511	510	0.318448781967
493	494	495	493	497	497	500	499	497	506	505	500	499	504	506	505	507	502	505	504	512	503	505	508	507	508	510	507	511	507	512	508	508	510	509	512	510	510	511	509	0.33208489418
491	494	495	494	497	497	501	499	496	506	504	500	500	503	506	503	507	502	503	503	512	504	505	508	506	508	511	507	511	507	511	507	508	510	510	513	510	509	510	509	0.345857858658
491	494	494	494	497	496	502	499	498	506	505	499	499	504	505	505	506	502	503	502	512	503	506	509	506	508	512	506	510	506	511	507	508	510	510	513	510	509	511	509	0.35951590538
491	494	495	494	497	497	500	498	497	506	505	500	500	503	505	504	506	502	503	503	513	504	504	509	506	508	510	506	511	506	511	507	508	511	510	512	510	510	511	509	0.373339891434
490	494	495	493	498	497	500	498	497	506	505	499	500	503	507	505	506	502	504	503	512	503	505	508	506	508	512	508	512	508	512	508	508	510	508	511	510	510	512	509	0.387143850327
492	494	495	494	497	497	500	499	497	505	505	499	500	504	505	503	508	502	502	504	512	503	505	509	506	508	512	507	511	508	511	507	508	510	510	511	510	511	510	510	0.401031970978
492	493	495	495	497	496	500	498	497	506	505	499	500	504	506	502	507	502	502	503	512	503	505	507	506	509	512	506	511	508	511	507	508	511	510	512	509	510	511	510	0.414800882339
491	494	495	494	497	496	500	499	497	506	505	499	500	503	505	505	507	502	503	503	512	504	505	509	506	508	512	507	511	508	511	506	508	509	509	512	511	510	510	511	0.428483009338
491	494	495	494	497	496	501	500	497	506	505	499	500	503	507	504	507	502	503	504	511	504	503	509	506	508	512	508	509	507	512	507	508	510	510	514	511	509	512	509	0.442271947861
490	494	494	495	497	496	500	499	497	506	505	499	500	503	506	504	507	502	503	504	512	504	505	509	506	508	511	506	511	507	511	507	508	510	510	512	511	509	511	509	0.456037998199
490	494	495	494	497	497	502	498	497	506	505	499	500	504	506	503	506	502	503	503	513	503	505	508	506	508	511	507	512	507	511	507	508	511	510	512	510	510	512	510	0.469883918762
491	493	495	494	497	496	501	499	497	506	505	500	500	504	506	505	507	502	503	503	513	505	505	508	507	509	511	507	510	508	511	507	510	510	510	513	510	509	511	510	0.483767986298
491	494	495	494	496	496	500	498	497	506	505	499	500	503	506	504	506	502	502	503	512	503	505	508	507	508	512	506	511	507	511	507	509	510	509	513	510	510	511	511	0.497474908829
491	494	495	493	497	496	501	498	497	505	505	499	500	503	506	503	507	502	504	503	513	504	504	508	506	508	512	506	512	506	511	507	509	511	510	511	510	509	512	510	0.511799812317
491	495	494	494	496	496	501	500	497	505	505	499	499	503	506	504	506	502	503	503	512	503	505	507	506	508	512	506	511	506	512	508	509	510	510	512	510	510	511	509	0.525154829025
492	494	496	494	497	496	501	500	497	506	505	499	500	503	506	503	507	502	502	503	513	505	504	507	505	508	510	507	512	507	512	507	508	511	510	512	511	510	510	510	0.538913965225
491	493	494	494	498	497	500	499	498	505	505	499	500	503	506	504	507	502	503	502	513	504	506	507	507	507	511	508	511	507	511	507	509	509	509	513	511	510	511	509	0.552781820297
491	494	494	494	498	496	500	500	497	505	504	500	500	504	506	503	507	502	503	503	512	504	503	509	505	508	512	507	512	506	511	506	508	510	511	513	510	511	510	509	0.566559791565
492	494	494	495	497	497	500	499	497	505	504	499	500	505	506	503	506	502	503	503	512	504	505	509	507	508	511	507	512	507	511	506	508	511	510	512	510	509	511	510	0.580731868744
491	494	495	494	497	496	501	499	498	505	504	498	500	504	506	504	507	502	504	502	512	504	505	508	506	508	510	506	511	507	511	506	509	511	510	511	510	509	511	509	0.593822002411
491	494	495	494	497	496	501	500	499	505	504	499	500	503	506	503	507	502	504	503	513	504	505	509	506	508	512	505	511	507	512	508	508	512	508	512	510	509	511	508	0.607479810715
492	494	495	494	496	497	500	499	497	505	505	499	500	504	506	502	508	502	503	503	512	505	504	508	506	508	512	506	512	507	512	507	508	511	510	512	510	509	511	509	0.621366977692
491	493	495	494	497	497	500	499	497	506	505	500	500	504	507	503	507	502	503	503	512	503	505	507	506	508	510	506	510	507	511	507	508	509	511	511	511	509	512	509	0.63511800766
491	494	495	494	498	498	500	499	497	506	505	500	500	503	506	504	507	503	503	503	511	504	506	508	505	508	512	506	511	506	511	507	509	511	508	513	511	510	511	510	0.648903846741
490	495	495	494	497	497	500	500	497	506	505	500	500	504	506	505	507	501	503	503	513	505	505	508	507	509	511	507	511	508	511	507	508	510	509	513	511	510	511	509	0.662656784058
